Source,Target,Tag,Example1,URL1,Example2,URL2,Note
adversarial prompting,적대적 프롬프팅,위험;프롬프트 엔지니어링,"적대적 프롬프팅(adversarial prompting)은 대규모언어모델(LLM: Large Language Model)과 관련한 위험 및 안전 문제를 이해하는 데 도움이 된다는 점에서, 프롬프트 엔지니어링(prompt engineering)에서 중요한 주제로 인식되고 있습니다.",https://www.promptingguide.ai/kr/risks/adversarial,,,
black-box frozen LLM,블랙박스 고정 대규모언어모델,언어모델,정책 언어모델은 블랙박스 고정 대규모언어모델(black-box frozen LLM)을 안내하는 힌트를 생성하기 위해 작게 최적화될 수 있습니다.,https://www.promptingguide.ai/kr/techniques/dsp,,,
chain-of-thought,생각의 사슬,프롬프트 엔지니어링;기법,"Wei et al. (2022)(opens in a new tab)에서 소개된 생각의 사슬(Chain-of-Thought, CoT) 프롬프트는 중간 추론 단계를 통해 복잡한 추론을 가능하게 합니다.",https://www.promptingguide.ai/kr/techniques/cot,,,
directional stimulus prompting,방향 자극 프롬프팅,프롬프트 엔지니어링;기법,아래 그림은 방향 자극 프롬프팅(directional stimulus prompting)이 표준 프롬프팅과 어떻게 비교되는지 보여줍니다.,https://www.promptingguide.ai/kr/techniques/dsp,,,
few-shot,퓨샷,인공지능 방법론;기법,"대규모 언어 모델은 뛰어난 제로샷(zero-shot) 기능을 보여주지만, 복잡한 작업에서는 여전히 개선이 필요합니다. 퓨샷(few-shot) 프롬프트는 프롬프트에서 데모를 제공하여 모델이 더 나은 성능을 발휘하도록 유도하는 문맥 내 학습을 가능하게 하는 기술로 사용할 수 있습니다. ",https://www.promptingguide.ai/kr/techniques/fewshot,"Flan-T5 instruction tuned 모델은 강력한 퓨샷(few-shot) 성능을 보여주며, T5(Text-to-Text Transfer Transformer)와 같은 사전 훈련된 모델(public checkpoint)보다 뛰어난 성능을 보여줍니다.",https://www.promptingguide.ai/kr/models/flan,
LM(Language Model),언어모델,언어모델,프롬프트 엔지니어링은 다양한 애플리케이션과 연구 주제에 언어모델(LM)을 효율적으로 사용할 수 있도록 프롬프트를 개발하고 최적화하는 비교적 새로운 분야입니다,https://www.promptingguide.ai/kr/index,,,
LLM(Large Language Model),대규모언어모델,언어모델,프롬프트 엔지니어링 기술은 대규모언어모델(LLM)의 기능과 한계를 더 잘 이해하는 데 도움이 됩니다.,https://www.promptingguide.ai/kr/index,,,
greedy (algorithm),탐욕(알고리즘),알고리즘,"프롬프트 엔지니어링을 위한 더 진보된 기법 중 하나로 자기 일관성(Self-Consistency)이 있습니다. Wang et al. (2022)(opens in a new tab)에서 제안한 자기 일관성은 ""생각의 사슬 프롬프트에 사용되는 일반적인 탐욕 알고리즘 디코딩을 대체하는 것""을 목표로 합니다. ",https://www.promptingguide.ai/kr/techniques/consistency,,,
temperature,temperature,언어모델 튜닝 용어,"temperature - 요컨대, temperature 값이 낮을수록 항상 가장 확률이 높은 토큰(말뭉치의 최소 단위)이 선택되기 때문에 더 결정론적인 결과를 낳습니다.",https://www.promptingguide.ai/kr/introduction/settings,,,
top_p,top_p,언어모델 튜닝 용어,"top_p - 마찬가지로, temperature를 활용하는 핵 샘플링 기법인 top_p를 사용하면 모델이 응답을 생성하는 결정성을 제어할 수 있습니다.",https://www.promptingguide.ai/kr/introduction/settings,,,
